cv_metric_AUC	logLoss	AUC	prAUC	Accuracy	Kappa	F1	Sensitivity	Specificity	Pos_Pred_Value	Neg_Pred_Value	Precision	Recall	Detection_Rate	Balanced_Accuracy	method	seed
0.724057267197511	0.641394056287498	0.689316239316239	0.671553449196253	0.701030927835051	0.379439664681226	0.768	0.923076923076923	0.444444444444444	0.657534246575343	0.833333333333333	0.657534246575342	0.923076923076923	0.494845360824742	0.683760683760684	glmnet	1
0.687196572007548	0.633048838073597	0.765384615384615	0.754834327223376	0.680412371134021	0.334587298074795	0.537313432835821	0.4	0.923076923076923	0.818181818181818	0.64	0.818181818181818	0.4	0.185567010309278	0.661538461538462	glmnet	2
0.725504723364479	0.652554017201251	0.682051282051282	0.652273839140684	0.649484536082474	0.271321254971277	0.73015873015873	0.884615384615385	0.377777777777778	0.621621621621622	0.739130434782609	0.621621621621622	0.884615384615385	0.474226804123711	0.631196581196581	glmnet	3
0.702432603335042	0.657727894398375	0.721367521367521	0.68636139532015	0.670103092783505	0.309915518008003	0.753846153846154	0.942307692307692	0.355555555555556	0.628205128205128	0.842105263157895	0.628205128205128	0.942307692307692	0.505154639175258	0.648931623931624	glmnet	4
0.713463543683056	0.627606033666235	0.726495726495726	0.688536798615053	0.701030927835051	0.388876819465566	0.747826086956522	0.826923076923077	0.555555555555556	0.682539682539683	0.735294117647059	0.682539682539683	0.826923076923077	0.443298969072165	0.691239316239316	glmnet	5
0.727155758546002	0.657279320519285	0.647863247863248	0.630259523421858	0.639175257731959	0.260187404663325	0.700854700854701	0.788461538461538	0.466666666666667	0.630769230769231	0.65625	0.630769230769231	0.788461538461538	0.422680412371134	0.627564102564103	glmnet	6
0.681856790588498	0.616906964927436	0.784615384615385	0.765366531519298	0.721649484536082	0.42223692918597	0.784	0.942307692307692	0.466666666666667	0.671232876712329	0.875	0.671232876712329	0.942307692307692	0.505154639175258	0.704487179487179	glmnet	7
0.711297063614137	0.591648450016862	0.711111111111111	0.697076808896569	0.711340206185567	0.414402759810263	0.745454545454545	0.788461538461538	0.622222222222222	0.706896551724138	0.717948717948718	0.706896551724138	0.788461538461538	0.422680412371134	0.70534188034188	glmnet	8
0.717839215522142	0.647893609976404	0.695299145299145	0.661148312908603	0.618556701030928	0.203329633740289	0.713178294573643	0.884615384615385	0.311111111111111	0.597402597402597	0.7	0.597402597402597	0.884615384615385	0.474226804123711	0.597863247863248	glmnet	9
0.713155232758891	0.612128089420103	0.732905982905983	0.713489551852787	0.701030927835051	0.379439664681226	0.768	0.923076923076923	0.444444444444444	0.657534246575343	0.833333333333333	0.657534246575342	0.923076923076923	0.494845360824742	0.683760683760684	glmnet	10
